time,.Header.seq,.Header.stamp.secs,.Header.stamp.nsecs,.Header.frame_id,.Latitude,.Longitude,.Altitude,.UTM_easting,.UTM_northing,.Zone,.Letter,.Quality
2022/10/11/16:47:24.065208,73,1665546444,0,GPS1_Frame,42.337276458740234,-71.08708953857422,7.699999809265137,328064.21875,4689334.5,19,T,4
2022/10/11/16:47:25.085805,74,1665546445,0,GPS1_Frame,42.337276458740234,-71.08708953857422,7.699999809265137,328064.21875,4689334.5,19,T,4
2022/10/11/16:47:26.059248,75,1665546446,0,GPS1_Frame,42.337276458740234,-71.08708953857422,7.699999809265137,328064.21875,4689334.5,19,T,4
2022/10/11/16:47:27.083660,76,1665546447,0,GPS1_Frame,42.337276458740234,-71.08708953857422,7.699999809265137,328064.21875,4689334.5,19,T,4
2022/10/11/16:47:28.059718,77,1665546448,0,GPS1_Frame,42.337276458740234,-71.08708953857422,7.699999809265137,328064.21875,4689334.5,19,T,4
2022/10/11/16:47:29.073864,78,1665546449,0,GPS1_Frame,42.337276458740234,-71.08708953857422,7.699999809265137,328064.21875,4689334.5,19,T,4
2022/10/11/16:47:30.063619,79,1665546450,0,GPS1_Frame,42.337276458740234,-71.08708953857422,7.699999809265137,328064.21875,4689334.5,19,T,4
2022/10/11/16:47:31.090225,80,1665546451,0,GPS1_Frame,42.337276458740234,-71.08708953857422,7.699999809265137,328064.21875,4689334.5,19,T,4
2022/10/11/16:47:32.069906,81,1665546452,0,GPS1_Frame,42.337276458740234,-71.08708953857422,7.699999809265137,328064.21875,4689334.5,19,T,4
2022/10/11/16:47:33.084733,82,1665546453,0,GPS1_Frame,42.337276458740234,-71.08708953857422,7.699999809265137,328064.21875,4689334.5,19,T,4
2022/10/11/16:47:34.068673,83,1665546454,0,GPS1_Frame,42.337276458740234,-71.08708953857422,7.699999809265137,328064.21875,4689334.5,19,T,4
2022/10/11/16:47:35.092602,84,1665546455,0,GPS1_Frame,42.337276458740234,-71.08708953857422,7.699999809265137,328064.21875,4689334.5,19,T,4
2022/10/11/16:47:36.070522,85,1665546456,0,GPS1_Frame,42.337276458740234,-71.08708953857422,7.699999809265137,328064.21875,4689334.5,19,T,4
2022/10/11/16:47:37.090637,86,1665546457,0,GPS1_Frame,42.337276458740234,-71.08708953857422,7.699999809265137,328064.21875,4689334.5,19,T,4
2022/10/11/16:47:38.065314,87,1665546458,0,GPS1_Frame,42.337276458740234,-71.08708953857422,7.699999809265137,328064.21875,4689334.5,19,T,4
2022/10/11/16:47:39.087952,88,1665546459,0,GPS1_Frame,42.337276458740234,-71.08708953857422,7.699999809265137,328064.21875,4689334.5,19,T,4
2022/10/11/16:47:40.063475,89,1665546460,0,GPS1_Frame,42.337276458740234,-71.08708953857422,7.699999809265137,328064.21875,4689334.5,19,T,4
2022/10/11/16:47:41.086823,90,1665546461,0,GPS1_Frame,42.337276458740234,-71.08708953857422,7.599999904632568,328064.21875,4689334.5,19,T,4
2022/10/11/16:47:42.070490,91,1665546462,0,GPS1_Frame,42.337276458740234,-71.08708953857422,7.599999904632568,328064.21875,4689334.5,19,T,4
2022/10/11/16:47:43.086553,92,1665546463,0,GPS1_Frame,42.337276458740234,-71.08708953857422,7.599999904632568,328064.21875,4689334.5,19,T,4
2022/10/11/16:47:44.075386,93,1665546464,0,GPS1_Frame,42.337276458740234,-71.08708953857422,7.599999904632568,328064.1875,4689334.5,19,T,4
2022/10/11/16:47:45.084835,94,1665546465,0,GPS1_Frame,42.337276458740234,-71.08708953857422,7.599999904632568,328064.1875,4689334.5,19,T,4
2022/10/11/16:47:46.066070,95,1665546466,0,GPS1_Frame,42.337276458740234,-71.08708953857422,7.599999904632568,328064.21875,4689334.5,19,T,4
2022/10/11/16:47:47.086499,96,1665546467,0,GPS1_Frame,42.337276458740234,-71.08708953857422,7.599999904632568,328064.21875,4689334.5,19,T,4
2022/10/11/16:47:48.072734,97,1665546468,0,GPS1_Frame,42.337276458740234,-71.08708953857422,7.599999904632568,328064.1875,4689334.5,19,T,4
2022/10/11/16:47:49.088580,98,1665546469,0,GPS1_Frame,42.337276458740234,-71.08708953857422,7.699999809265137,328064.21875,4689334.5,19,T,4
2022/10/11/16:47:50.067788,99,1665546470,0,GPS1_Frame,42.337276458740234,-71.08708953857422,7.699999809265137,328064.21875,4689334.5,19,T,4
2022/10/11/16:47:51.076926,100,1665546471,0,GPS1_Frame,42.337276458740234,-71.08708953857422,7.699999809265137,328064.21875,4689334.5,19,T,4
2022/10/11/16:47:52.070543,101,1665546472,0,GPS1_Frame,42.337276458740234,-71.08708953857422,7.699999809265137,328064.21875,4689334.5,19,T,4
