time,.Header.seq,.Header.stamp.secs,.Header.stamp.nsecs,.Header.frame_id,.Latitude,.Longitude,.Altitude,.UTM_easting,.UTM_northing,.Zone,.Letter,.Quality
2022/10/11/16:31:56.322141,1,1665545353,0,GPS1_Frame,42.33618927001953,-71.08855438232422,38.900001525878906,327940.65625,4689216.5,19,T,4
2022/10/11/16:31:56.884414,2,1665545517,0,GPS1_Frame,42.33617401123047,-71.08860778808594,38.70000076293945,327936.09375,4689215.0,19,T,4
2022/10/11/16:31:57.858079,3,1665545518,0,GPS1_Frame,42.33617401123047,-71.08860778808594,39.0,327936.4375,4689215.0,19,T,4
2022/10/11/16:31:58.870719,4,1665545519,0,GPS1_Frame,42.33617401123047,-71.0886001586914,39.0,327936.875,4689215.0,19,T,4
2022/10/11/16:31:59.863123,5,1665545520,0,GPS1_Frame,42.336177825927734,-71.08859252929688,38.79999923706055,327937.34375,4689215.5,19,T,4
2022/10/11/16:32:00.870446,6,1665545521,0,GPS1_Frame,42.336181640625,-71.08859252929688,38.79999923706055,327937.84375,4689215.5,19,T,4
2022/10/11/16:32:01.855599,7,1665545522,0,GPS1_Frame,42.336181640625,-71.08858489990234,39.0,327938.0,4689216.0,19,T,4
2022/10/11/16:32:02.867606,8,1665545523,0,GPS1_Frame,42.336185455322266,-71.08858489990234,39.099998474121094,327938.375,4689216.0,19,T,4
2022/10/11/16:32:03.857184,9,1665545524,0,GPS1_Frame,42.33618927001953,-71.08857727050781,39.099998474121094,327938.71875,4689216.5,19,T,4
2022/10/11/16:32:04.883055,10,1665545525,0,GPS1_Frame,42.3361930847168,-71.08857727050781,39.099998474121094,327939.0,4689217.0,19,T,4
2022/10/11/16:32:05.865078,11,1665545526,0,GPS1_Frame,42.33619689941406,-71.08856964111328,39.099998474121094,327939.25,4689217.5,19,T,4
2022/10/11/16:32:06.879785,12,1665545527,0,GPS1_Frame,42.33619689941406,-71.08856964111328,39.099998474121094,327939.5,4689217.5,19,T,4
2022/10/11/16:32:07.848645,13,1665545528,0,GPS1_Frame,42.33620071411133,-71.08856964111328,39.099998474121094,327939.78125,4689218.0,19,T,4
2022/10/11/16:32:08.879075,14,1665545529,0,GPS1_Frame,42.336204528808594,-71.08856201171875,39.099998474121094,327940.09375,4689218.0,19,T,4
2022/10/11/16:32:09.861737,15,1665545530,0,GPS1_Frame,42.336204528808594,-71.08856201171875,39.099998474121094,327940.34375,4689218.5,19,T,4
2022/10/11/16:32:10.873414,16,1665545531,0,GPS1_Frame,42.33620834350586,-71.08855438232422,39.099998474121094,327940.59375,4689218.5,19,T,4
2022/10/11/16:32:11.854043,17,1665545532,0,GPS1_Frame,42.33620834350586,-71.08855438232422,39.099998474121094,327940.71875,4689219.0,19,T,4
2022/10/11/16:32:12.874156,18,1665545533,0,GPS1_Frame,42.336212158203125,-71.08855438232422,39.099998474121094,327940.9375,4689219.0,19,T,4
2022/10/11/16:32:13.863682,19,1665545534,0,GPS1_Frame,42.33621597290039,-71.08854675292969,39.20000076293945,327941.21875,4689219.5,19,T,4
2022/10/11/16:32:14.872097,20,1665545535,0,GPS1_Frame,42.33621597290039,-71.08854675292969,39.20000076293945,327941.40625,4689219.5,19,T,4
2022/10/11/16:32:15.845918,21,1665545536,0,GPS1_Frame,42.336219787597656,-71.08854675292969,39.29999923706055,327941.75,4689220.0,19,T,4
2022/10/11/16:32:16.871522,22,1665545537,0,GPS1_Frame,42.33622360229492,-71.08853912353516,39.29999923706055,327942.25,4689220.5,19,T,4
2022/10/11/16:32:17.856180,23,1665545538,0,GPS1_Frame,42.33623123168945,-71.08853149414062,39.29999923706055,327942.625,4689221.0,19,T,4
2022/10/11/16:32:18.864055,24,1665545539,0,GPS1_Frame,42.33623504638672,-71.08853149414062,39.400001525878906,327943.0,4689221.5,19,T,4
2022/10/11/16:32:19.861745,25,1665545540,0,GPS1_Frame,42.336238861083984,-71.0885238647461,39.5,327943.375,4689222.0,19,T,4
2022/10/11/16:32:20.888378,26,1665545541,0,GPS1_Frame,42.336238861083984,-71.0885238647461,39.400001525878906,327943.65625,4689222.0,19,T,4
2022/10/11/16:32:21.859757,27,1665545542,0,GPS1_Frame,42.33624267578125,-71.08851623535156,39.29999923706055,327943.90625,4689222.5,19,T,4
2022/10/11/16:32:22.878707,28,1665545543,0,GPS1_Frame,42.33624267578125,-71.08851623535156,39.29999923706055,327944.25,4689222.5,19,T,4
2022/10/11/16:32:23.867185,29,1665545544,0,GPS1_Frame,42.336246490478516,-71.08850860595703,39.20000076293945,327944.5,4689222.5,19,T,4
2022/10/11/16:32:24.874425,30,1665545545,0,GPS1_Frame,42.33625030517578,-71.08850860595703,39.29999923706055,327944.6875,4689223.0,19,T,4
2022/10/11/16:32:25.841005,31,1665545546,0,GPS1_Frame,42.33625030517578,-71.08850860595703,39.5,327944.875,4689223.5,19,T,4
2022/10/11/16:32:26.885249,32,1665545547,0,GPS1_Frame,42.33625411987305,-71.0885009765625,39.599998474121094,327945.15625,4689223.5,19,T,4
2022/10/11/16:32:27.856462,33,1665545548,0,GPS1_Frame,42.33625793457031,-71.0885009765625,39.599998474121094,327945.3125,4689224.0,19,T,4
2022/10/11/16:32:28.879311,34,1665545549,0,GPS1_Frame,42.33625793457031,-71.0885009765625,39.599998474121094,327945.53125,4689224.0,19,T,4
2022/10/11/16:32:29.865751,35,1665545550,0,GPS1_Frame,42.33625793457031,-71.08849334716797,39.599998474121094,327945.71875,4689224.0,19,T,4
2022/10/11/16:32:30.879713,36,1665545551,0,GPS1_Frame,42.33626174926758,-71.08849334716797,39.599998474121094,327945.90625,4689224.5,19,T,4
